Cluster,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
NGC_2632,661458365546507776,130.82415945349217,20.510348094309204,5.486443479481597,-38.4544098873532,-11.363211968305333,11.611212,1.0320702
NGC_2632,661453688325924736,130.57829867807928,20.409681737034816,5.481682555270249,-35.56017758293436,-14.283078405146837,12.156006,1.1307583
NGC_2632,661438913637806208,130.75211354398243,20.337744979622727,5.4619820889258985,-37.157262660678064,-14.344539641266929,11.259017,0.89644814
NGC_2632,661429675164926464,130.46614275075495,20.34659144273679,5.432545214803951,-36.81635312120043,-12.772625900214912,15.654278,2.364832
NGC_2632,661427063824818816,130.34943110865828,20.249159457561436,5.3144745466352985,-36.57325057646371,-12.932275083201866,13.910039,2.0031223
NGC_2632,661424143247274624,130.4055401814235,20.210179000615785,5.148335167641012,-34.39328485572176,-12.890512902461328,17.163666,2.8575163
NGC_2632,661424074527577600,130.43240050227243,20.226816426525023,5.538442278230015,-36.427220229073065,-14.046467388609516,10.350761,0.72669506
NGC_2632,662701741399303040,128.07856579465255,19.05236048208624,5.279076099524307,-37.774031515457054,-10.887208658351746,16.59066,2.6768131
NGC_2632,661767843709723776,131.36755429064823,20.395331563498864,5.6311780164010825,-37.53962344711909,-13.953057608880046,8.450657000000001,0.3814659
NGC_2632,662677758301970688,127.71403881803036,18.89760193989748,5.183879611470402,-35.18134052211672,-13.228254095471849,17.298464000000006,2.8170853
NGC_2632,662661540505500160,128.30984333013728,19.076739568512608,5.377649830284141,-33.63993615248934,-12.702567725245933,15.469457,2.2845001
NGC_2632,662655974227886720,128.40827816319526,18.954835342784804,5.351367818492184,-35.55201864606117,-13.304066049747062,16.082704999999994,2.5282812000000003
NGC_2632,662655183953995392,128.2730785128005,18.93014040993777,5.425651285543451,-33.957773611260855,-12.435577836223407,15.866407999999998,2.6249943
NGC_2632,662644326276577664,128.50187891880515,18.926672085802288,5.403584330348336,-34.295129813044035,-12.404000435515876,16.292591,2.7035484
NGC_2632,662640615424927744,128.43295530585257,18.79741236264948,5.245255202055767,-33.67237200005318,-12.186464852715565,16.180782,2.5423365
NGC_2632,662633743477189632,128.23176356947036,18.73277596767868,5.383382668170352,-34.978342555085234,-13.100694190717856,12.760685,1.2932633999999998
NGC_2632,662633228081183872,128.20701125362666,18.701700766617183,5.263690385530938,-34.006322002363355,-12.176547525296291,12.388916,1.4036111999999998
NGC_2632,662632540886348928,128.2619030292611,18.682583234119463,5.38349828997738,-34.000882318777336,-12.879056739770569,12.985446,1.3717489
NGC_2632,662665629314342272,127.7453886945455,18.694706459781248,5.369832034375674,-33.702977435376795,-12.521657910858169,14.710718,2.0062447
NGC_2632,610158378513683712,132.33473544776726,16.448424322228316,5.506050398607059,-36.661491686221616,-10.879036798334427,17.785631,3.1907597
NGC_2632,661222073627319296,130.43269703433262,19.30221998122357,5.486425448907137,-36.42967553196137,-12.337886028578213,14.743064000000002,2.0171623
NGC_2632,661331131435476608,130.68199456779678,19.623100491875174,5.321424811780888,-35.89636955149547,-13.260751619856048,11.830334,1.1944008
NGC_2632,661333708415842304,130.78411890586156,19.713150169591547,5.395472310363016,-35.19187498884176,-12.992033528747324,12.948668,1.3486776000000005
NGC_2632,661401122222444288,130.35751606006852,19.943515067588343,5.302677226949827,-35.669625605897934,-12.660146038342392,10.578912,0.75805473
NGC_2632,661527600418921600,132.35005639132484,20.23507205642388,5.331011023864511,-38.365931284541695,-12.901426988626389,17.549889,3.216549
NGC_2632,661401431460014976,130.29064757659148,19.93529233233804,5.3577303160354575,-36.54198265010447,-11.763813816286824,13.206443,1.4543676
